username,age_category,gender,wakeup_time,sleep_time,interests
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness|Mindfulness
sumithra_m,20,Female,08:00,22:00,Skincare|Mindfulness
sumithra_m,20,Female,08:00,22:00,Fitness|Skincare
sumithra_m,20,Female,08:00,22:00,Skincare|Mindfulness
sumithra_m,20,Female,,22:00,Mindfulness|Fitness
sumithra_m,20,Female,08:00,22:00,Fitness|Skincare
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,22:00,Skincare|Fitness
sumithra_m,20,Female,08:00,10:00,Skincare
sumithra_m,20,Female,08:00,10:00,Skincare
20,Female,20:00,10:00,Skincare
null,20,Female,08:00,08:00,Mindfulness
null,20,Female,08:00,10:00,Skincare|Mindfulness
sumithra_m,20,Female,08:00,10:00,Skincare|Mindfulness
sumithra_m,20,Female,10:00,10:00,Skincare
sumithra_m,20,Female,06:00,10:00,Mindfulness
sumithra_m,20,Female,06:00,10:00,Skincare
sumithra_m,20,Female,06:00,10:00,Skincare
sumithra_m,20,Female,06:00,10:00,Mindfulness
sumithra_m,21,Female,06:00,10:00,Mindfulness
sumithra_m,21,Female,06:00,10:00,Mindfulness
sumithra_m,21,Female,06:00,10:00,Mindfulness
sumithra_m,21,Female,06:00,10:00,Mindfulness
